source_file,id,category,difficulty_tier,knowledge_level,rank_tier,displayAnswer,normalizedAnswer,duplicate_count,all_rank_tiers_for_answer,duplicate_ids
questions.json,gen_000003_beg_com,gen,beginner,common,excluded_beginner_common,366,366,2,D|excluded_beginner_common,gen_000003_beg_com|gen_000063_int_com
questions.json,gen_000063_int_com,gen,intermediate,common,D,366,366,2,D|excluded_beginner_common,gen_000003_beg_com|gen_000063_int_com
questions.json,lang_000032_beg_std,lang,beginner,standard,D,Adjective,adjective,1,D,
questions.json,tech_000003_beg_com,tech,beginner,common,excluded_beginner_common,AI,ai,2,D|excluded_beginner_common,tech_000003_beg_com|tech_000063_int_com
questions.json,tech_000063_int_com,tech,intermediate,common,D,AI,ai,2,D|excluded_beginner_common,tech_000003_beg_com|tech_000063_int_com
questions.json,lang_000033_beg_std,lang,beginner,standard,D,Alphabet,alphabet,1,D,
questions.json,geo_000033_beg_std,geo,beginner,standard,D,Alps,alps,1,D,
questions.json,geo_000032_beg_std,geo,beginner,standard,D,Amazon,amazon,1,D,
questions.json,gen_000031_beg_std,gen,beginner,standard,D,Antarctica,antarctica,1,D,
questions.json,tech_000001_beg_com,tech,beginner,common,excluded_beginner_common,Apple,apple,2,D|excluded_beginner_common,tech_000001_beg_com|tech_000061_int_com
questions.json,tech_000061_int_com,tech,intermediate,common,D,Apple,apple,2,D|excluded_beginner_common,tech_000001_beg_com|tech_000061_int_com
tier_c_science_questions_30.json,sci_000029_adv_com,sci,advanced,common,C,Atmosphere,atmosphere,1,C,
questions.json,spo_000003_beg_com,spo,beginner,common,excluded_beginner_common,Badminton,badminton,2,D|excluded_beginner_common,spo_000003_beg_com|spo_000063_int_com
questions.json,spo_000063_int_com,spo,intermediate,common,D,Badminton,badminton,2,D|excluded_beginner_common,spo_000003_beg_com|spo_000063_int_com
tier_c_science_questions_30.json,sci_000003_int_std,sci,intermediate,standard,C,Black hole,blackhole,1,C,
questions.json,tech_000032_beg_std,tech,beginner,standard,D,Blockchain,blockchain,1,D,
tier_c_science_questions_30.json,sci_000022_adv_com,sci,advanced,common,C,Brain,brain,1,C,
tier_c_science_questions_30.json,sci_000024_adv_com,sci,advanced,common,C,Carbon,carbon,1,C,
tier_c_science_questions_30.json,sci_000010_int_std,sci,intermediate,standard,C,Chloroplast,chloroplast,1,C,
questions.json,his_000031_beg_std,his,beginner,standard,D,Cleopatra,cleopatra,1,D,
questions.json,tech_000033_beg_std,tech,beginner,standard,D,Cloud,cloud,1,D,
questions.json,his_000032_beg_std,his,beginner,standard,D,Cold War,coldwar,1,D,
questions.json,gen_000033_beg_std,gen,beginner,standard,D,Compass,compass,1,D,
tier_c_science_questions_30.json,sci_000005_int_std,sci,intermediate,standard,C,Covalent bond,covalentbond,1,C,
questions.json,food_000032_beg_std,food,beginner,standard,D,Croissant,croissant,1,D,
tier_c_science_questions_30.json,sci_000002_int_std,sci,intermediate,standard,C,DNA,dna,3,C|D|excluded_beginner_common,sci_000003_beg_com|sci_000063_int_com|sci_000002_int_std
questions.json,sci_000003_beg_com,sci,beginner,common,excluded_beginner_common,DNA,dna,3,C|D|excluded_beginner_common,sci_000003_beg_com|sci_000063_int_com|sci_000002_int_std
questions.json,sci_000063_int_com,sci,intermediate,common,D,DNA,dna,3,C|D|excluded_beginner_common,sci_000003_beg_com|sci_000063_int_com|sci_000002_int_std
questions.json,art_000032_beg_std,art,beginner,standard,D,Don Quixote,donquixote,1,D,
questions.json,his_000001_beg_com,his,beginner,common,excluded_beginner_common,Egypt,egypt,2,D|excluded_beginner_common,his_000001_beg_com|his_000061_int_com
questions.json,his_000061_int_com,his,intermediate,common,D,Egypt,egypt,2,D|excluded_beginner_common,his_000001_beg_com|his_000061_int_com
tier_c_science_questions_30.json,sci_000030_adv_com,sci,advanced,common,C,Electron,electron,2,C|D,sci_000033_beg_std|sci_000030_adv_com
questions.json,sci_000033_beg_std,sci,beginner,standard,D,Electron,electron,2,C|D,sci_000033_beg_std|sci_000030_adv_com
questions.json,lang_000001_beg_com,lang,beginner,common,excluded_beginner_common,English,english,2,D|excluded_beginner_common,lang_000001_beg_com|lang_000061_int_com
questions.json,lang_000061_int_com,lang,intermediate,common,D,English,english,2,D|excluded_beginner_common,lang_000001_beg_com|lang_000061_int_com
tier_c_science_questions_30.json,sci_000009_int_std,sci,intermediate,standard,C,Entropy,entropy,1,C,
tier_c_science_questions_30.json,sci_000007_int_std,sci,intermediate,standard,C,Evolution,evolution,1,C,
questions.json,spo_000032_beg_std,spo,beginner,standard,D,Formula 1,formula1,1,D,
questions.json,ent_000001_beg_com,ent,beginner,common,excluded_beginner_common,Frozen,frozen,2,D|excluded_beginner_common,ent_000001_beg_com|ent_000061_int_com
questions.json,ent_000061_int_com,ent,intermediate,common,D,Frozen,frozen,2,D|excluded_beginner_common,ent_000001_beg_com|ent_000061_int_com
questions.json,tech_000031_beg_std,tech,beginner,standard,D,Google,google,1,D,
questions.json,sci_000002_beg_com,sci,beginner,common,excluded_beginner_common,Gravity,gravity,3,C|D|excluded_beginner_common,sci_000002_beg_com|sci_000062_int_com|sci_000019_adv_com
tier_c_science_questions_30.json,sci_000019_adv_com,sci,advanced,common,C,Gravity,gravity,3,C|D|excluded_beginner_common,sci_000002_beg_com|sci_000062_int_com|sci_000019_adv_com
questions.json,sci_000062_int_com,sci,intermediate,common,D,Gravity,gravity,3,C|D|excluded_beginner_common,sci_000002_beg_com|sci_000062_int_com|sci_000019_adv_com
tier_c_science_questions_30.json,sci_000015_int_std,sci,intermediate,standard,C,Hardness,hardness,1,C,
questions.json,ent_000032_beg_std,ent,beginner,standard,D,Harry Potter,harrypotter,1,D,
questions.json,geo_000031_beg_std,geo,beginner,standard,D,Iceland,iceland,1,D,
tier_c_science_questions_30.json,sci_000028_adv_com,sci,advanced,common,C,Immune system,immunesystem,1,C,
questions.json,tech_000002_beg_com,tech,beginner,common,excluded_beginner_common,Internet,internet,2,D|excluded_beginner_common,tech_000002_beg_com|tech_000062_int_com
questions.json,tech_000062_int_com,tech,intermediate,common,D,Internet,internet,2,D|excluded_beginner_common,tech_000002_beg_com|tech_000062_int_com
questions.json,ent_000002_beg_com,ent,beginner,common,excluded_beginner_common,Iron Man,ironman,2,D|excluded_beginner_common,ent_000002_beg_com|ent_000062_int_com
questions.json,ent_000062_int_com,ent,intermediate,common,D,Iron Man,ironman,2,D|excluded_beginner_common,ent_000002_beg_com|ent_000062_int_com
questions.json,geo_000001_beg_com,geo,beginner,common,excluded_beginner_common,Japan,japan,2,D|excluded_beginner_common,geo_000001_beg_com|geo_000061_int_com
questions.json,geo_000061_int_com,geo,intermediate,common,D,Japan,japan,2,D|excluded_beginner_common,geo_000001_beg_com|geo_000061_int_com
tier_c_science_questions_30.json,sci_000011_int_std,sci,intermediate,standard,C,Jupiter,jupiter,2,C|D,sci_000031_beg_std|sci_000011_int_std
questions.json,sci_000031_beg_std,sci,beginner,standard,D,Jupiter,jupiter,2,C|D,sci_000031_beg_std|sci_000011_int_std
questions.json,lang_000003_beg_com,lang,beginner,common,excluded_beginner_common,Kanji,kanji,2,D|excluded_beginner_common,lang_000003_beg_com|lang_000063_int_com
questions.json,lang_000063_int_com,lang,intermediate,common,D,Kanji,kanji,2,D|excluded_beginner_common,lang_000003_beg_com|lang_000063_int_com
questions.json,food_000033_beg_std,food,beginner,standard,D,Kimchi,kimchi,1,D,
tier_c_science_questions_30.json,sci_000025_adv_com,sci,advanced,common,C,Light,light,1,C,
tier_c_science_questions_30.json,sci_000026_adv_com,sci,advanced,common,C,Lung,lung,1,C,
questions.json,sci_000001_beg_com,sci,beginner,common,excluded_beginner_common,Mars,mars,3,C|D|excluded_beginner_common,sci_000001_beg_com|sci_000061_int_com|sci_000023_adv_com
tier_c_science_questions_30.json,sci_000023_adv_com,sci,advanced,common,C,Mars,mars,3,C|D|excluded_beginner_common,sci_000001_beg_com|sci_000061_int_com|sci_000023_adv_com
questions.json,sci_000061_int_com,sci,intermediate,common,D,Mars,mars,3,C|D|excluded_beginner_common,sci_000001_beg_com|sci_000061_int_com|sci_000023_adv_com
tier_c_science_questions_30.json,sci_000014_int_std,sci,intermediate,standard,C,Meiosis,meiosis,1,C,
questions.json,gen_000032_beg_std,gen,beginner,standard,D,Mercury,mercury,1,D,
questions.json,ent_000033_beg_std,ent,beginner,standard,D,Minecraft,minecraft,1,D,
tier_c_science_questions_30.json,sci_000004_int_std,sci,intermediate,standard,C,Mitochondrion,mitochondrion,1,C,
tier_c_science_questions_30.json,sci_000006_int_std,sci,intermediate,standard,C,Momentum,momentum,1,C,
questions.json,art_000002_beg_com,art,beginner,common,excluded_beginner_common,Mona Lisa,monalisa,2,D|excluded_beginner_common,art_000002_beg_com|art_000062_int_com
questions.json,art_000062_int_com,art,intermediate,common,D,Mona Lisa,monalisa,2,D|excluded_beginner_common,art_000002_beg_com|art_000062_int_com
tier_c_science_questions_30.json,sci_000016_adv_com,sci,advanced,common,C,Moon,moon,1,C,
questions.json,his_000003_beg_com,his,beginner,common,excluded_beginner_common,Napoleon,napoleon,2,D|excluded_beginner_common,his_000003_beg_com|his_000063_int_com
questions.json,his_000063_int_com,his,intermediate,common,D,Napoleon,napoleon,2,D|excluded_beginner_common,his_000003_beg_com|his_000063_int_com
questions.json,geo_000002_beg_com,geo,beginner,common,excluded_beginner_common,Nile,nile,2,D|excluded_beginner_common,geo_000002_beg_com|geo_000062_int_com
questions.json,geo_000062_int_com,geo,intermediate,common,D,Nile,nile,2,D|excluded_beginner_common,geo_000002_beg_com|geo_000062_int_com
questions.json,lang_000002_beg_com,lang,beginner,common,excluded_beginner_common,Noun,noun,2,D|excluded_beginner_common,lang_000002_beg_com|lang_000062_int_com
questions.json,lang_000062_int_com,lang,intermediate,common,D,Noun,noun,2,D|excluded_beginner_common,lang_000002_beg_com|lang_000062_int_com
questions.json,spo_000002_beg_com,spo,beginner,common,excluded_beginner_common,Olympics,olympics,2,D|excluded_beginner_common,spo_000002_beg_com|spo_000062_int_com
questions.json,spo_000062_int_com,spo,intermediate,common,D,Olympics,olympics,2,D|excluded_beginner_common,spo_000002_beg_com|spo_000062_int_com
tier_c_science_questions_30.json,sci_000017_adv_com,sci,advanced,common,C,Oxygen,oxygen,1,C,
tier_c_science_questions_30.json,sci_000001_int_std,sci,intermediate,standard,C,Ozone,ozone,1,C,
questions.json,gen_000001_beg_com,gen,beginner,common,excluded_beginner_common,Pacific,pacific,2,D|excluded_beginner_common,gen_000001_beg_com|gen_000061_int_com
questions.json,gen_000061_int_com,gen,intermediate,common,D,Pacific,pacific,2,D|excluded_beginner_common,gen_000001_beg_com|gen_000061_int_com
questions.json,food_000031_beg_std,food,beginner,standard,D,Paella,paella,1,D,
questions.json,sci_000032_beg_std,sci,beginner,standard,D,Photosynthesis,photosynthesis,1,D,
tier_c_science_questions_30.json,sci_000012_int_std,sci,intermediate,standard,C,pH scale,phscale,1,C,
questions.json,art_000031_beg_std,art,beginner,standard,D,Picasso,picasso,1,D,
questions.json,food_000002_beg_com,food,beginner,common,excluded_beginner_common,Pizza,pizza,2,D|excluded_beginner_common,food_000002_beg_com|food_000062_int_com
questions.json,food_000062_int_com,food,intermediate,common,D,Pizza,pizza,2,D|excluded_beginner_common,food_000002_beg_com|food_000062_int_com
questions.json,ent_000003_beg_com,ent,beginner,common,excluded_beginner_common,Pokemon,pokemon,2,D|excluded_beginner_common,ent_000003_beg_com|ent_000063_int_com
questions.json,ent_000063_int_com,ent,intermediate,common,D,Pokemon,pokemon,2,D|excluded_beginner_common,ent_000003_beg_com|ent_000063_int_com
questions.json,gen_000002_beg_com,gen,beginner,common,excluded_beginner_common,Purple,purple,2,D|excluded_beginner_common,gen_000002_beg_com|gen_000062_int_com
questions.json,gen_000062_int_com,gen,intermediate,common,D,Purple,purple,2,D|excluded_beginner_common,gen_000002_beg_com|gen_000062_int_com
tier_c_science_questions_30.json,sci_000013_int_std,sci,intermediate,standard,C,Refraction,refraction,1,C,
questions.json,his_000033_beg_std,his,beginner,standard,D,Renaissance,renaissance,1,D,
questions.json,spo_000033_beg_std,spo,beginner,standard,D,Rugby,rugby,1,D,
questions.json,geo_000003_beg_com,geo,beginner,common,excluded_beginner_common,Sahara,sahara,2,D|excluded_beginner_common,geo_000003_beg_com|geo_000063_int_com
questions.json,geo_000063_int_com,geo,intermediate,common,D,Sahara,sahara,2,D|excluded_beginner_common,geo_000003_beg_com|geo_000063_int_com
tier_c_science_questions_30.json,sci_000027_adv_com,sci,advanced,common,C,Saturn,saturn,1,C,
questions.json,art_000001_beg_com,art,beginner,common,excluded_beginner_common,Shakespeare,shakespeare,2,D|excluded_beginner_common,art_000001_beg_com|art_000061_int_com
questions.json,art_000061_int_com,art,intermediate,common,D,Shakespeare,shakespeare,2,D|excluded_beginner_common,art_000001_beg_com|art_000061_int_com
questions.json,spo_000001_beg_com,spo,beginner,common,excluded_beginner_common,Soccer,soccer,2,D|excluded_beginner_common,spo_000001_beg_com|spo_000061_int_com
questions.json,spo_000061_int_com,spo,intermediate,common,D,Soccer,soccer,2,D|excluded_beginner_common,spo_000001_beg_com|spo_000061_int_com
questions.json,lang_000031_beg_std,lang,beginner,standard,D,Spanish,spanish,1,D,
tier_c_science_questions_30.json,sci_000021_adv_com,sci,advanced,common,C,Star,star,1,C,
questions.json,ent_000031_beg_std,ent,beginner,standard,D,Star Wars,starwars,1,D,
tier_c_science_questions_30.json,sci_000008_int_std,sci,intermediate,standard,C,Subduction,subduction,1,C,
questions.json,food_000001_beg_com,food,beginner,common,excluded_beginner_common,Sushi,sushi,2,D|excluded_beginner_common,food_000001_beg_com|food_000061_int_com
questions.json,food_000061_int_com,food,intermediate,common,D,Sushi,sushi,2,D|excluded_beginner_common,food_000001_beg_com|food_000061_int_com
questions.json,food_000003_beg_com,food,beginner,common,excluded_beginner_common,Taco,taco,2,D|excluded_beginner_common,food_000003_beg_com|food_000063_int_com
questions.json,food_000063_int_com,food,intermediate,common,D,Taco,taco,2,D|excluded_beginner_common,food_000003_beg_com|food_000063_int_com
questions.json,art_000033_beg_std,art,beginner,standard,D,The Scream,thescream,1,D,
questions.json,art_000003_beg_com,art,beginner,common,excluded_beginner_common,Van Gogh,vangogh,2,D|excluded_beginner_common,art_000003_beg_com|art_000063_int_com
questions.json,art_000063_int_com,art,intermediate,common,D,Van Gogh,vangogh,2,D|excluded_beginner_common,art_000003_beg_com|art_000063_int_com
tier_c_science_questions_30.json,sci_000018_adv_com,sci,advanced,common,C,Venus,venus,1,C,
tier_c_science_questions_30.json,sci_000020_adv_com,sci,advanced,common,C,Water,water,1,C,
questions.json,spo_000031_beg_std,spo,beginner,standard,D,Wimbledon,wimbledon,1,D,
questions.json,his_000002_beg_com,his,beginner,common,excluded_beginner_common,World War 2,worldwar2,2,D|excluded_beginner_common,his_000002_beg_com|his_000062_int_com
questions.json,his_000062_int_com,his,intermediate,common,D,World War 2,worldwar2,2,D|excluded_beginner_common,his_000002_beg_com|his_000062_int_com
art_000001_beg_std,tier_d_random_genres_questions_30.json,art,beginner,standard,D,Impressionism,impressionism,2026-04-27T16:09:15
ent_000002_beg_std,tier_d_random_genres_questions_30.json,ent,beginner,standard,D,Jurassic Park,jurassicpark,2026-04-27T16:09:15
his_000003_int_com,tier_d_random_genres_questions_30.json,his,intermediate,common,D,Roman Empire,romanempire,2026-04-27T16:09:15
lang_000004_int_com,tier_d_random_genres_questions_30.json,lang,intermediate,common,D,Chinese,chinese,2026-04-27T16:09:15
ent_000005_int_com,tier_d_random_genres_questions_30.json,ent,intermediate,common,D,Batman,batman,2026-04-27T16:09:15
his_000006_beg_std,tier_d_random_genres_questions_30.json,his,beginner,standard,D,Silk Road,silkroad,2026-04-27T16:09:15
tech_000007_int_com,tier_d_random_genres_questions_30.json,tech,intermediate,common,D,Smartphone,smartphone,2026-04-27T16:09:15
sci_000008_int_com,tier_d_random_genres_questions_30.json,sci,intermediate,common,D,Photosynthesis,photosynthesis,2026-04-27T16:09:15
sci_000009_beg_std,tier_d_random_genres_questions_30.json,sci,beginner,standard,D,Plate tectonics,platetectonics,2026-04-27T16:09:15
tech_000010_beg_std,tier_d_random_genres_questions_30.json,tech,beginner,standard,D,Encryption,encryption,2026-04-27T16:09:15
geo_000011_beg_std,tier_d_random_genres_questions_30.json,geo,beginner,standard,D,Andes,andes,2026-04-27T16:09:15
tech_000012_beg_std,tier_d_random_genres_questions_30.json,tech,beginner,standard,D,Linux,linux,2026-04-27T16:09:15
ent_000013_int_com,tier_d_random_genres_questions_30.json,ent,intermediate,common,D,The Lion King,thelionking,2026-04-27T16:09:15
food_000014_beg_std,tier_d_random_genres_questions_30.json,food,beginner,standard,D,Hummus,hummus,2026-04-27T16:09:15
gen_000015_int_com,tier_d_random_genres_questions_30.json,gen,intermediate,common,D,Calendar,calendar,2026-04-27T16:09:15
geo_000016_int_com,tier_d_random_genres_questions_30.json,geo,intermediate,common,D,Australia,australia,2026-04-27T16:09:15
sci_000017_int_com,tier_d_random_genres_questions_30.json,sci,intermediate,common,D,Volcano,volcano,2026-04-27T16:09:15
his_000018_int_com,tier_d_random_genres_questions_30.json,his,intermediate,common,D,Industrial Revolution,industrialrevolution,2026-04-27T16:09:15
lang_000019_beg_std,tier_d_random_genres_questions_30.json,lang,beginner,standard,D,Syntax,syntax,2026-04-27T16:09:15
food_000020_beg_std,tier_d_random_genres_questions_30.json,food,beginner,standard,D,Risotto,risotto,2026-04-27T16:09:15
gen_000021_int_com,tier_d_random_genres_questions_30.json,gen,intermediate,common,D,Gold,gold,2026-04-27T16:09:15
art_000022_int_com,tier_d_random_genres_questions_30.json,art,intermediate,common,D,The Last Supper,thelastsupper,2026-04-27T16:09:15
geo_000023_beg_std,tier_d_random_genres_questions_30.json,geo,beginner,standard,D,Mekong,mekong,2026-04-27T16:09:15
spo_000024_int_com,tier_d_random_genres_questions_30.json,spo,intermediate,common,D,Basketball,basketball,2026-04-27T16:09:15
sci_000025_beg_std,tier_d_random_genres_questions_30.json,sci,beginner,standard,D,Natural selection,naturalselection,2026-04-27T16:09:15
